Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
277;16/08/2025;7;10;35;42;43;47;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
278;20/08/2025;4;18;36;38;45;49;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
279;23/08/2025;1;3;4;7;27;32;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
280;27/08/2025;18;22;25;29;37;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
281;30/08/2025;3;5;18;19;29;43;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
282;03/09/2025;10;12;17;21;41;50;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
283;06/09/2025;8;13;17;22;45;47;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
284;10/09/2025;4;5;6;30;38;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
285;13/09/2025;7;10;29;34;39;40;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
286;17/09/2025;15;19;20;30;35;45;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
287;20/09/2025;2;9;10;12;18;48;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
288;24/09/2025;14;17;27;33;42;50;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
289;27/09/2025;12;16;23;29;37;38;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
290;01/10/2025;4;20;29;31;36;46;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
291;04/10/2025;14;15;19;22;30;31;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
292;08/10/2025;10;15;23;29;38;42;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
293;11/10/2025;4;21;29;33;39;42;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
294;15/10/2025;3;9;19;21;36;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
295;18/10/2025;2;12;24;26;28;29;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
296;22/10/2025;14;17;22;24;30;38;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
297;25/10/2025;1;8;10;37;40;45;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
298;29/10/2025;2;9;10;28;35;36;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
299;01/11/2025;14;20;24;25;35;39;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
300;05/11/2025;9;10;18;19;20;38;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
301;08/11/2025;2;4;7;10;11;29;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
302;12/11/2025;12;38;40;43;44;48;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
303;14/11/2025;11;12;13;25;39;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
304;19/11/2025;2;14;22;36;40;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
305;22/11/2025;4;10;16;34;40;47;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
306;26/11/2025;7;9;11;41;48;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
307;29/11/2025;1;10;13;14;28;31;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
308;03/12/2025;12;16;18;19;35;40;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
309;06/12/2025;1;8;15;30;37;47;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
310;10/12/2025;15;16;33;34;40;42;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
311;13/12/2025;19;29;32;38;42;50;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
312;17/12/2025;1;18;27;33;48;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
313;20/12/2025;9;11;22;33;34;49;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
314;24/12/2025;7;12;14;17;21;41;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
315;27/12/2025;5;7;11;12;20;29;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
316;01/01/2026;10;11;12;18;36;48;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
317;03/01/2026;8;23;28;40;49;50;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
318;07/01/2026;3;6;22;23;38;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
319;10/01/2026;11;18;26;29;30;37;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
320;14/01/2026;20;35;36;38;41;44;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
321;17/01/2026;1;9;22;31;32;45;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
322;21/01/2026;1;4;14;18;40;46;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
323;24/01/2026;8;11;12;15;37;38;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
324;28/01/2026;9;12;17;29;30;45;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
325;31/01/2026;13;14;19;21;26;41;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
326;04/02/2026;16;20;29;34;35;42;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
327;07/02/2026;4;7;12;25;28;46;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
328;11/02/2026;3;19;21;25;27;42;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
329;14/02/2026;12;13;15;22;23;49;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
330;18/02/2026;4;13;25;33;41;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
331;21/02/2026;4;12;18;23;39;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
332;25/02/2026;35;36;40;43;47;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
333;28/02/2026;1;20;28;37;40;43;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
334;04/03/2026;25;44;45;46;48;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
335;07/03/2026;1;4;15;16;41;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
336;11/03/2026;13;32;33;35;42;47;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
337;14/03/2026;3;18;27;29;34;43;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
338;18/03/2026;3;5;6;10;16;25;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
339;21/03/2026;15;27;32;40;41;42;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
340;25/03/2026;24;31;35;40;41;42;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
341;28/03/2026;1;18;21;38;41;50;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
342;01/04/2026;6;9;20;40;41;43;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
343;04/04/2026;1;16;17;26;34;50;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
344;08/04/2026;3;4;11;14;16;29;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
345;11/04/2026;19;20;25;27;38;41;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
346;15/04/2026;1;18;21;24;37;44;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
347;18/04/2026;3;6;25;28;31;48;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
348;22/04/2026;6;14;21;24;44;49;4;5;;;;;;;;;;;;;;;;;;;;;;;;;
349;25/04/2026;12;15;21;36;37;41;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
350;29/04/2026;7;18;25;30;42;45;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
351;02/05/2026;5;8;23;29;34;42;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
352;06/05/2026;1;10;13;23;24;40;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
353;09/05/2026;8;19;24;27;35;36;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
354;13/05/2026;4;11;14;32;35;40;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
355;16/05/2026;6;7;10;30;40;47;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
356;20/05/2026;1;5;9;22;25;28;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
357;23/05/2026;7;8;10;23;38;42;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
358;27/05/2026;1;6;12;18;22;42;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
359;30/05/2026;1;8;10;12;22;30;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
360;03/06/2026;4;7;15;20;23;34;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
361;06/06/2026;10;21;22;31;33;35;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
362;10/06/2026;4;13;28;31;40;47;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
363;14/06/2026;7;12;22;25;36;38;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
364;17/06/2026;12;20;23;29;32;48;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
365;20/06/2026;4;6;10;27;32;44;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
366;25/06/2026;1;11;14;22;25;37;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
367;27/06/2026;6;20;29;38;45;48;1;6;;;;;;;;;;;;;;;;;;;;;;;;;
368;01/07/2026;1;2;20;28;42;48;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
369;04/07/2026;4;6;20;22;26;41;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
370;08/07/2026;9;16;17;20;48;49;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
371;11/07/2026;5;13;35;40;42;49;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
372;15/07/2026;3;13;14;28;30;49;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
373;19/07/2026;10;17;19;37;40;50;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
374;22/07/2026;2;4;8;28;30;37;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
375;26/07/2026;2;6;15;19;25;29;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
376;29/07/2026;1;2;35;38;40;45;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
377;02/08/2026;1;14;15;21;30;47;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
378;05/08/2026;7;8;9;15;46;49;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
379;09/08/2026;4;7;14;28;38;47;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
380;12/08/2026;3;37;38;41;42;43;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
381;16/08/2026;23;32;33;38;45;46;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
382;19/08/2026;10;17;23;30;44;48;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
383;23/08/2026;03;04;16;18;39;45;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
